"thai","german","transliteration","pos","tags","lesson","exampleThai","exampleGerman"
"หมี่","Nudeln (thin)","mii","Nomen","Food,A2","5","หมี่ทำเร็ว","Nudeln gehen schnell zu machen."
"ผัด","gebraten (Stir-fry)","phat","Verb","Food,A2","5","ฉันผัด","Ich gebraten (Stir-fry)."
"ต้ม","kochen (suppen)","tom","Verb","Food,A2","5","ฉันต้ม","Ich kochen (suppen)."
"ย่าง","grillen","yaang","Verb","Food,A2","5","ฉันย่าง","Ich grillen."
"ทอด","frittieren","thot","Verb","Food,A2","5","ฉันทอด","Ich frittieren."
"แตงกวา","Gurke","taeng-gwaa","Nomen","Food,A2","5","แตงกวาสด","Die Gurke ist frisch."
"มะเขือเทศ","Tomate","ma-khuea-thet","Nomen","Food,A2","5","มะเขือเทศแดง","Die Tomate ist rot."
"แครอท","Karotte","khrae-rot","Nomen","Food,A2","5","แครอทส้ม","Die Karotte ist orange."
"มันฝรั่ง","Kartoffel","man-farang","Nomen","Food,A2","5","มันฝรั่งขาว","Die Kartoffel ist weiß."
"เห็ด","Pilz","het","Nomen","Food,A2","5","เห็ดอร่อย","Der Pilz ist lecker."
"ขิง","Ingwer","khing","Nomen","Food,A2","5","ขิงร้อน","Ingwer ist warm."
"ใบกะเพรา","Thai-Basilikum","bai-ga-phrao","Nomen","Food,A2","5","ใบกะเพราว่า","Thai-Basilikum aromatisch."
"น้ำแข็ง","Eiswürfel","nam-khaeng","Nomen","Food,A2","5","น้ำแข็งเย็น","Der Eiswürfel ist kalt."
"เบียร์","Bier","bia","Nomen","Food,A2","5","เบียร์เย็น","Das Bier ist kalt."
"น้ำชา","Tee (Getränk)","nam-chaa","Nomen","Food,A2","5","น้ำชาร้อน","Tee ist heiß."
"ยาแก้ปวด","Schmerzmittel","yaa-kae-puat","Nomen","Health,A2","5","ฉันต้องยาแก้ปวด","Ich brauche Schmerzmittel."
"แพ้","allergisch sein","phae","Verb","Health,A2","5","ฉันแพ้","Ich allergisch sein."
"อาการ","Symptom","aa-gaan","Nomen","Health,A2","5","อาการเป็นไง","Wie sind die Symptome?"
"นัดหมอ","Arzttermin","nat-mo","Nomen","Health,A2","5","ฉันมีนัดหมอ","Ich habe einen Arzttermin."
"การบ้าน","Hausaufgabe","gaan-baan","Nomen","Education,A2","5","ทำการบ้านดิ","Mach die Hausaufgabe."
"ห้องประชุม","Besprechungsraum","hong-pra-chum","Nomen","Work,A2","5","ห้องประชุมสะอาด","Der Besprechungsraum ist sauber."
"ประชุม","Besprechung/meeting","pra-chum","Nomen","Work,A2","5","มีประชุมพรุ่งนี้","Es gibt ein Treffen morgen."
"เอกสาร","Dokument","eek-ka-saan","Nomen","Work,A2","5","อ่านเอกสาร","Das Dokument lesen."
"ไฟล์","Datei","fai","Nomen","Work,A2","5","เปิดไฟล์นี้","Öffne diese Datei."
"บัญชี","Konto/Account","ban-chii","Nomen","Work,A2","5","เปิดบัญชีใหม่","Eröffne ein neues Konto."
"ส่วนลด","Rabatt","suan-lot","Nomen","Shopping,A2","5","ได้ส่วนลด 20%","Es gibt 20% Rabatt."
"แพ็ค","Packung","phaek","Nomen","Shopping,A2","5","ซื้อแพ็คนี้","Kauf diese Packung."
"ขนาด","Größe","kha-naat","Nomen","Shopping,A2","5","ขนาด S ได้ไหม","Hast du Größe S?"
"สีไหน","welche Farbe","sii-nai","Phrase","Shopping,A2","5","สีไหน","welche Farbe"
"ลองได้ไหม","kann ich probieren?","long-dai-mai","Phrase","Shopping,A2","5","ลองได้ไหม","kann ich probieren?"
"เช็คอิน","einchecken","chek-in","Verb","Travel,A2","5","ฉันเช็คอินที่โรงแรม","Ich checke im Hotel ein."
"เช็คเอาท์","auschecken","chek-aot","Verb","Travel,A2","5","ฉันเช็คเอาท์เช้านี้","Ich checke heute Morgen aus."
"ห้องเดี่ยว","Einzelzimmer","hong-diao","Nomen","Travel,A2","5","หนึ่งห้องเดี่ยว","Ein Einzelzimmer, bitte."
